recorded,radon,temp,humidity
2019-09-12T07:26:55,0.00,23.40,40.00
2019-09-12T08:26:55,0.00,25.20,38.00
2019-09-12T09:26:55,0.00,25.80,35.50
2019-09-12T10:26:55,0.00,25.80,34.50
2019-09-12T11:26:55,0.00,25.60,34.50
2019-09-12T12:26:55,0.00,25.80,35.50
2019-09-12T13:26:55,0.00,27.40,40.50
2019-09-12T14:26:55,0.00,26.40,40.00
2019-09-12T15:26:55,0.00,25.80,40.50
2019-09-12T16:26:55,0.00,25.60,41.00
2019-09-12T17:26:55,0.00,25.60,42.00
2019-09-12T18:26:55,3.00,25.60,46.50
2019-09-12T19:26:55,3.00,25.80,49.00
2019-09-12T20:26:55,3.00,26.20,52.50
2019-09-12T21:26:55,3.00,26.40,52.00
2019-09-12T22:26:55,3.00,26.20,49.00
2019-09-12T23:26:55,3.00,26.20,48.00
2019-09-13T00:26:55,3.00,26.20,47.50
2019-09-13T01:26:55,3.00,26.20,47.00
2019-09-13T02:26:55,6.00,26.00,46.50
2019-09-13T03:26:55,6.00,26.00,48.00
2019-09-13T04:26:55,6.00,26.20,49.00
2019-09-13T05:26:55,8.00,26.20,50.00
2019-09-13T06:26:55,8.00,26.80,48.50
2019-09-13T07:26:55,10.00,27.00,46.50
2019-09-13T08:26:55,13.00,27.00,43.00
2019-09-13T09:26:55,13.00,26.80,40.00
2019-09-13T10:26:55,13.00,26.60,41.50
2019-09-13T11:26:55,15.00,26.60,45.50
2019-09-13T12:26:55,15.00,26.60,48.50
2019-09-13T13:26:55,15.00,26.60,50.00
2019-09-13T14:26:55,15.00,26.40,50.00
2019-09-13T15:26:55,15.00,26.20,49.50
2019-09-13T16:26:55,18.00,26.00,45.50
2019-09-13T17:26:55,18.00,25.80,45.50
2019-09-13T18:26:55,15.00,25.60,44.00
2019-09-13T19:26:55,15.00,25.80,47.50
2019-09-13T20:26:55,15.00,26.20,51.00
2019-09-13T21:26:55,15.00,26.20,51.50
2019-09-13T22:26:55,15.00,26.20,51.50
2019-09-13T23:26:55,15.00,26.40,51.00
2019-09-14T00:26:55,15.00,26.40,51.00
2019-09-14T01:26:55,15.00,26.40,50.50
2019-09-14T02:26:55,17.00,26.20,50.00
2019-09-14T03:26:55,17.00,26.20,51.00
2019-09-14T04:26:55,17.00,26.40,52.50
2019-09-14T05:26:55,15.00,26.40,53.50
2019-09-14T06:26:55,15.00,26.40,50.00
2019-09-14T07:26:55,13.00,26.00,47.50
2019-09-14T08:26:55,15.00,25.80,47.00
2019-09-14T09:26:55,15.00,26.00,46.50
2019-09-14T10:26:55,15.00,26.20,49.50
2019-09-14T11:26:55,13.00,26.60,53.00
2019-09-14T12:26:55,13.00,26.60,53.50
2019-09-14T13:26:55,13.00,26.40,53.50
2019-09-14T14:26:55,13.00,26.20,52.00
2019-09-14T15:26:55,15.00,26.00,50.00
2019-09-14T16:26:55,13.00,25.80,49.50
2019-09-14T17:26:55,13.00,25.60,48.00
2019-09-14T18:26:55,11.00,25.60,48.00
2019-09-14T19:26:55,13.00,25.40,47.50
2019-09-14T20:26:55,14.00,25.80,53.00
2019-09-14T21:26:55,17.00,26.00,55.50
2019-09-14T22:26:55,22.00,26.20,57.00
2019-09-14T23:26:55,22.00,26.40,57.00
2019-09-15T00:26:55,26.00,26.40,56.50
2019-09-15T01:26:55,29.00,26.40,56.50
2019-09-15T02:26:55,26.00,26.40,56.00
2019-09-15T03:26:55,26.00,26.40,56.00
2019-09-15T04:26:55,29.00,26.40,56.50
2019-09-15T05:26:55,31.00,26.00,50.00
2019-09-15T06:26:55,31.00,25.80,49.00
2019-09-15T07:26:55,31.00,25.80,48.00
2019-09-15T08:26:55,26.00,26.00,47.00
2019-09-15T09:26:55,26.00,25.40,43.00
2019-09-15T10:26:55,26.00,25.60,45.50
2019-09-15T11:26:55,25.00,26.00,49.50
2019-09-15T12:26:55,25.00,26.00,50.00
2019-09-15T13:26:55,25.00,26.00,49.50
2019-09-15T14:26:55,26.00,25.80,46.50
2019-09-15T15:26:55,23.00,25.60,46.00
2019-09-15T16:26:55,26.00,25.40,45.50
2019-09-15T17:26:55,26.00,25.40,48.00
2019-09-15T18:26:55,26.00,25.20,49.00
2019-09-15T19:26:55,23.00,25.20,47.50
2019-09-15T20:26:55,23.00,25.40,52.50
2019-09-15T21:26:55,21.00,25.60,55.00
2019-09-15T22:26:55,18.00,26.00,57.00
2019-09-15T23:26:55,18.00,26.00,57.00
2019-09-16T00:26:55,20.00,26.20,56.50
2019-09-16T01:26:55,18.00,26.20,56.00
2019-09-16T02:26:55,15.00,26.20,56.50
2019-09-16T03:26:55,15.00,26.20,56.00
2019-09-16T04:26:55,13.00,26.00,56.00
2019-09-16T05:26:55,11.00,25.80,55.50
2019-09-16T06:26:55,11.00,26.20,53.50
2019-09-16T07:26:55,9.00,26.40,48.50
2019-09-16T08:26:55,9.00,26.20,42.50
2019-09-16T09:26:55,9.00,26.20,42.50
2019-09-16T10:26:55,9.00,26.00,43.00
2019-09-16T11:26:55,9.00,26.00,45.50
2019-09-16T12:26:55,9.00,26.00,47.00
2019-09-16T13:26:55,9.00,26.00,47.50
2019-09-16T14:26:55,8.00,25.80,48.50
2019-09-16T15:26:55,8.00,25.60,47.50
2019-09-16T16:26:55,6.00,25.40,46.00
2019-09-16T17:26:55,6.00,25.40,49.00
2019-09-16T18:26:55,6.00,25.40,51.00
2019-09-16T19:26:55,6.00,25.60,55.00
2019-09-16T20:26:55,6.00,25.80,55.50
2019-09-16T21:26:55,6.00,26.00,56.00
2019-09-16T22:26:55,3.00,26.20,55.50
2019-09-16T23:26:55,3.00,26.00,54.50
2019-09-17T00:26:55,0.00,26.00,53.00
2019-09-17T01:26:55,0.00,25.80,52.50
2019-09-17T02:26:55,0.00,25.80,52.00
2019-09-17T03:26:55,3.00,25.80,52.00
2019-09-17T04:26:55,3.00,25.80,53.00
2019-09-17T05:26:55,3.00,25.60,53.00
2019-09-17T06:26:55,3.00,25.60,52.50
2019-09-17T07:26:55,4.00,25.40,50.50
2019-09-17T08:26:55,7.00,25.20,49.50
2019-09-17T16:26:55,7.00,25.00,48.00
2019-09-17T17:26:55,7.00,24.80,47.00
2019-09-17T18:26:55,7.00,24.80,52.50
2019-09-17T19:26:55,7.00,25.00,57.00
2019-09-17T20:26:55,7.00,25.20,59.00
2019-09-17T21:26:55,7.00,25.40,59.00
2019-09-17T22:26:55,7.00,25.60,59.00
2019-09-17T23:26:55,7.00,25.80,59.00
2019-09-18T00:26:55,10.00,25.80,59.50
2019-09-18T01:26:55,12.00,25.80,58.50
2019-09-18T02:26:55,12.00,26.00,58.50
2019-09-18T03:26:55,15.00,26.00,57.50
2019-09-18T04:26:55,14.00,25.80,57.50
2019-09-18T05:26:55,14.00,25.40,50.50
2019-09-18T06:26:55,14.00,24.60,42.00
2019-09-18T07:26:55,15.00,24.20,40.00
2019-09-18T08:26:55,13.00,23.60,38.50
2019-09-18T09:26:55,13.00,23.20,37.50
2019-09-18T10:26:55,13.00,22.80,36.50
2019-09-18T11:26:55,13.00,22.80,35.50
2019-09-18T12:26:55,15.00,22.40,36.50
2019-09-18T13:26:55,15.00,21.40,37.00
2019-09-18T14:26:55,14.00,22.20,40.00
2019-09-18T15:26:55,14.00,23.00,42.00
2019-09-18T16:26:55,14.00,23.40,43.00
2019-09-18T17:26:55,14.00,23.40,42.50
2019-09-18T18:26:55,14.00,23.60,45.50
2019-09-18T19:26:55,14.00,23.80,47.50
2019-09-18T20:26:55,14.00,24.00,50.00
2019-09-18T21:26:55,16.00,24.20,52.00
2019-09-18T22:26:55,16.00,24.60,53.50
2019-09-18T23:26:55,16.00,24.80,56.00
2019-09-19T00:26:55,16.00,25.00,57.50
2019-09-19T01:26:55,13.00,25.00,58.50
2019-09-19T02:26:55,12.00,25.20,59.00
2019-09-19T03:26:55,8.00,25.20,59.00
2019-09-19T04:26:55,12.00,25.00,57.50
2019-09-19T05:26:55,14.00,24.60,52.50
2019-09-19T06:26:55,16.00,24.20,47.00
2019-09-19T07:26:55,16.00,24.00,45.00
2019-09-19T08:26:55,16.00,23.80,44.00
2019-09-19T09:26:55,16.00,24.00,41.50
2019-09-19T10:26:55,22.00,23.80,38.50
2019-09-19T11:26:55,22.00,23.40,38.00
2019-09-19T12:26:55,22.00,23.20,38.00
2019-09-19T13:26:55,22.00,23.00,36.50
2019-09-19T14:26:55,22.00,22.80,37.50
2019-09-19T15:26:55,22.00,23.00,40.00
2019-09-19T16:26:55,22.00,23.00,40.00
2019-09-19T17:26:55,22.00,23.20,42.50
2019-09-19T18:26:55,22.00,23.20,44.00
2019-09-19T19:26:55,24.00,23.40,47.50
2019-09-19T20:26:55,26.00,23.80,50.50
2019-09-19T21:26:55,26.00,24.20,52.00
2019-09-19T22:26:55,26.00,24.20,54.50
2019-09-19T23:26:55,32.00,24.40,57.50
2019-09-20T00:26:55,32.00,24.60,58.50
2019-09-20T01:26:55,41.00,24.60,59.00
2019-09-20T02:26:55,43.00,24.60,60.00
2019-09-20T03:26:55,43.00,24.60,59.50
2019-09-20T04:26:55,40.00,24.40,57.50
2019-09-20T05:26:55,40.00,24.00,51.00
2019-09-20T06:26:55,38.00,24.00,47.50
2019-09-20T07:26:55,36.00,24.20,43.50
2019-09-20T08:26:55,38.00,24.00,41.50
2019-09-20T09:26:55,38.00,23.60,39.50
2019-09-20T10:26:55,35.00,23.40,38.00
2019-09-20T11:26:55,36.00,23.20,37.50
2019-09-20T12:26:55,34.00,23.00,36.50
2019-09-20T13:26:55,34.00,22.80,35.50
2019-09-20T14:26:55,34.00,22.80,35.50
2019-09-20T15:26:55,37.00,22.60,35.00
2019-09-20T16:26:55,37.00,22.60,34.00
2019-09-20T17:26:55,39.00,22.40,35.50
2019-09-20T18:26:55,42.00,22.60,37.50
2019-09-20T19:26:55,38.00,22.60,38.00
2019-09-20T20:26:55,36.00,22.80,43.00
2019-09-20T21:26:55,36.00,23.20,46.50
2019-09-20T22:26:55,36.00,23.60,50.00
2019-09-20T23:26:55,31.00,23.80,53.00
2019-09-21T00:26:55,28.00,23.80,53.00
2019-09-21T01:26:55,19.00,23.60,53.00
2019-09-21T02:26:55,24.00,23.60,53.50
2019-09-21T03:26:55,24.00,23.40,53.50
2019-09-21T04:26:55,28.00,23.40,54.50
2019-09-21T05:26:55,29.00,23.40,54.50
2019-09-21T06:26:55,29.00,23.80,50.00
2019-09-21T07:26:55,35.00,24.20,48.50
2019-09-21T08:26:55,35.00,24.40,43.00
2019-09-21T09:26:55,35.00,24.20,40.00
2019-09-21T10:26:55,34.00,23.80,38.50
2019-09-21T11:26:55,33.00,23.40,41.00
2019-09-21T12:26:55,33.00,23.60,45.50
2019-09-21T13:26:55,35.00,23.60,46.50
2019-09-21T14:26:55,35.00,23.40,43.00
2019-09-21T15:26:55,32.00,23.00,39.00
2019-09-21T16:26:55,32.00,22.80,39.00
2019-09-21T17:26:55,31.00,22.80,40.00
2019-09-21T18:26:55,29.00,22.80,44.00
2019-09-21T19:26:55,29.00,22.80,45.50
2019-09-21T20:26:55,29.00,23.20,49.00
2019-09-21T21:26:55,25.00,23.60,52.50
2019-09-21T22:26:55,25.00,23.80,55.50
2019-09-21T23:26:55,29.00,23.80,58.00
2019-09-22T00:26:55,29.00,24.00,59.00
2019-09-22T01:26:55,30.00,24.00,59.50
2019-09-22T02:26:55,22.00,24.00,57.50
2019-09-22T03:26:55,19.00,24.00,58.00
2019-09-22T04:26:55,15.00,24.00,59.00
2019-09-22T05:26:55,12.00,24.20,59.00
2019-09-22T06:26:55,21.00,24.60,55.00
2019-09-22T07:26:55,19.00,24.80,49.50
2019-09-22T08:26:55,16.00,24.80,45.50
2019-09-22T09:26:55,20.00,24.60,43.00
2019-09-22T10:26:55,19.00,24.20,42.00
2019-09-22T11:26:55,19.00,24.00,45.00
2019-09-22T12:26:55,19.00,24.00,49.50
2019-09-22T13:26:55,19.00,24.00,50.50
2019-09-22T14:26:55,23.00,23.80,48.00
2019-09-22T15:26:55,23.00,23.40,46.50
2019-09-22T16:26:55,23.00,23.20,46.50
2019-09-22T17:26:55,24.00,23.20,50.00
2019-09-22T18:26:55,24.00,23.20,51.00
2019-09-22T19:26:55,24.00,23.20,51.50
2019-09-22T20:26:55,30.00,23.60,55.50
2019-09-22T21:26:55,34.00,23.80,58.00
2019-09-22T22:26:55,38.00,24.00,59.50
2019-09-22T23:26:55,37.00,24.20,59.50
2019-09-23T00:26:55,44.00,24.20,62.00
2019-09-23T01:26:55,47.00,24.40,63.50
2019-09-23T02:26:55,50.00,24.40,64.00
2019-09-23T03:26:55,48.00,24.40,64.50
2019-09-23T04:26:55,48.00,25.00,62.50
2019-09-23T05:25:58,48.00,25.20,54.50
2019-09-23T06:25:58,41.00,24.60,52.00
2019-09-23T07:25:58,39.00,24.20,53.00
2019-09-23T08:25:58,41.00,24.00,54.00
2019-09-23T09:25:58,39.00,24.00,54.00
2019-09-23T10:25:58,39.00,23.80,51.00
2019-09-23T11:25:58,42.00,23.80,51.50
2019-09-23T12:25:58,43.00,23.80,53.00
2019-09-23T13:25:58,50.00,23.60,52.00
2019-09-23T14:25:58,51.00,23.40,50.00
2019-09-23T15:25:58,51.00,23.40,49.50
2019-09-23T16:25:58,51.00,23.40,54.00
2019-09-23T17:25:58,50.00,23.40,56.00
2019-09-23T18:25:58,57.00,23.40,56.50
2019-09-23T19:25:58,60.00,23.20,55.50
2019-09-23T20:25:58,57.00,23.60,59.00
2019-09-23T21:25:58,54.00,23.80,62.00
2019-09-23T22:25:58,56.00,24.20,65.00
2019-09-23T23:25:58,54.00,24.40,65.50
2019-09-24T00:25:58,52.00,24.40,65.50
2019-09-24T01:25:58,52.00,24.40,64.00
2019-09-24T02:25:58,52.00,24.20,62.00
2019-09-24T03:25:58,52.00,24.00,62.00
2019-09-24T04:25:58,52.00,24.00,62.00
2019-09-24T05:25:58,49.00,23.80,61.00
2019-09-24T06:25:58,50.00,23.60,60.00
2019-09-24T07:25:58,56.00,23.40,56.50
2019-09-24T08:25:58,60.00,23.20,55.00
2019-09-24T09:25:58,62.00,23.20,55.00
2019-09-24T10:25:58,65.00,23.40,57.50
2019-09-24T11:25:58,62.00,23.40,59.50
2019-09-24T12:25:58,60.00,23.60,60.50
2019-09-24T13:25:58,55.00,23.60,59.50
2019-09-24T14:25:58,48.00,23.40,56.50
2019-09-24T15:25:58,48.00,23.20,54.50
2019-09-24T16:25:58,58.00,23.20,55.50
2019-09-24T17:25:58,60.00,23.20,60.00
2019-09-24T18:25:58,50.00,23.20,61.50
2019-09-24T19:25:58,50.00,23.20,62.50
2019-09-24T20:25:58,48.00,23.40,63.50
2019-09-24T21:25:58,55.00,23.80,64.50
2019-09-24T22:25:58,50.00,24.00,66.00
2019-09-24T23:25:58,49.00,24.00,66.50
2019-09-25T00:25:58,50.00,24.20,68.50
2019-09-25T01:25:58,50.00,24.40,68.50
2019-09-25T02:25:58,54.00,24.40,68.50
2019-09-25T03:25:58,54.00,24.40,68.50
2019-09-25T04:25:58,63.00,24.40,68.00
2019-09-25T05:25:58,63.00,23.80,61.50
2019-09-25T06:25:58,58.00,23.40,58.00
2019-09-25T07:25:58,53.00,23.00,56.00
2019-09-25T08:25:58,49.00,22.80,54.50
2019-09-25T09:25:58,43.00,22.80,53.50
2019-09-25T10:25:58,40.00,23.00,57.50
2019-09-25T11:25:58,43.00,23.20,60.00
2019-09-25T12:25:58,47.00,23.20,61.00
2019-09-25T13:25:58,43.00,23.40,62.00
2019-09-25T14:25:58,47.00,23.20,59.00
2019-09-25T15:25:58,47.00,23.00,56.00
2019-09-25T16:25:58,40.00,24.00,53.50
2019-09-25T17:25:58,39.00,25.60,50.00
2019-09-25T18:25:58,39.00,25.80,52.50
2019-09-25T19:25:58,39.00,25.00,53.00
2019-09-25T20:25:58,39.00,24.80,58.50
2019-09-25T21:25:58,36.00,24.80,62.00
2019-09-25T22:25:58,34.00,24.60,62.00
2019-09-25T23:25:58,36.00,24.40,61.50
2019-09-26T00:25:58,36.00,24.40,62.00
2019-09-26T01:25:58,36.00,24.40,62.00
2019-09-26T02:25:58,33.00,24.40,62.00
2019-09-26T03:25:58,33.00,24.40,62.00
2019-09-26T04:25:58,25.00,24.40,62.00
2019-09-26T05:25:58,28.00,24.20,62.00
2019-09-26T06:25:58,31.00,24.00,61.50
2019-09-26T07:25:58,34.00,23.80,60.50
2019-09-26T08:25:58,34.00,23.80,59.50
2019-09-26T09:25:58,34.00,23.60,57.50
2019-09-26T10:25:58,39.00,23.60,58.50
2019-09-26T11:25:58,36.00,23.60,60.50
2019-09-26T12:25:58,34.00,23.60,60.50
2019-09-26T13:25:58,34.00,23.60,60.00
2019-09-26T14:25:58,30.00,23.40,59.00
2019-09-26T15:25:58,34.00,23.20,58.50
2019-09-26T16:25:58,30.00,23.00,58.00
2019-09-26T17:25:58,30.00,23.00,58.00
2019-09-26T18:25:58,30.00,22.80,57.50
2019-09-26T19:25:58,27.00,22.80,59.00
2019-09-26T20:25:58,27.00,23.20,63.00
2019-09-26T21:25:58,27.00,23.60,65.00
2019-09-26T22:25:58,30.00,24.00,67.50
2019-09-26T23:25:58,27.00,24.20,69.00
2019-09-27T00:25:58,30.00,24.20,69.50
2019-09-27T01:25:58,34.00,24.20,70.00
2019-09-27T02:25:58,35.00,24.40,71.00
2019-09-27T03:25:58,43.00,24.40,71.00
2019-09-27T04:25:58,51.00,24.40,71.50
2019-09-27T05:25:58,51.00,24.80,69.50
2019-09-27T06:25:58,48.00,24.80,66.00
2019-09-27T07:25:58,44.00,24.40,62.00
2019-09-27T08:25:58,47.00,23.80,60.00
2019-09-27T09:25:58,47.00,23.60,58.50
2019-09-27T10:25:58,41.00,23.20,59.50
2019-09-27T11:25:58,41.00,23.40,62.50
2019-09-27T12:25:58,45.00,23.60,63.00
2019-09-27T13:25:58,45.00,23.40,63.50
2019-09-27T14:25:58,48.00,23.40,63.50
2019-09-27T15:25:58,45.00,23.40,62.50
2019-09-27T16:25:58,45.00,24.00,61.50
2019-09-27T17:25:58,48.00,24.20,60.50
2019-09-27T18:25:58,50.00,24.00,60.50
2019-09-27T19:25:58,56.00,23.60,58.50
2019-09-27T20:25:58,59.00,23.80,63.00
2019-09-27T21:25:58,56.00,24.00,66.00
2019-09-27T22:25:58,53.00,24.00,67.50
2019-09-27T23:25:58,55.00,24.20,70.00
2019-09-28T00:25:58,49.00,24.40,71.00
2019-09-28T01:25:58,47.00,24.40,71.00
2019-09-28T02:25:58,47.00,24.40,71.50
2019-09-28T03:25:58,44.00,24.40,71.00
2019-09-28T04:25:58,41.00,25.00,69.50
2019-09-28T05:25:58,38.00,25.60,67.00
2019-09-28T06:25:58,38.00,25.80,63.00
2019-09-28T07:25:58,41.00,25.20,57.50
2019-09-28T08:25:58,37.00,24.80,55.50
2019-09-28T09:25:58,37.00,24.60,55.00
2019-09-28T10:25:58,37.00,24.40,55.50
2019-09-28T11:25:58,37.00,24.40,60.00
2019-09-28T12:25:58,34.00,24.60,62.50
2019-09-28T13:25:58,42.00,24.40,62.50
2019-09-28T14:25:58,41.00,24.00,60.50
2019-09-28T15:25:58,44.00,23.80,60.50
2019-09-28T16:25:58,44.00,23.60,59.00
2019-09-28T17:25:58,42.00,23.60,61.50
2019-09-28T18:25:58,40.00,23.40,59.00
2019-09-28T19:25:58,33.00,23.40,62.00
2019-09-28T20:25:58,29.00,23.60,65.00
2019-09-28T21:25:58,29.00,24.00,67.00
2019-09-28T22:25:58,36.00,24.20,69.50
2019-09-28T23:25:58,35.00,24.40,71.00
2019-09-29T00:25:58,35.00,24.60,72.00
2019-09-29T01:25:58,31.00,24.60,72.50
2019-09-29T02:25:58,31.00,24.60,73.00
2019-09-29T03:25:58,28.00,24.80,74.00
2019-09-29T04:25:58,24.00,24.60,73.50
2019-09-29T05:25:58,24.00,24.60,73.50
2019-09-29T06:25:58,25.00,24.40,69.50
2019-09-29T07:25:58,28.00,24.40,67.00
2019-09-29T08:25:58,38.00,24.20,62.00
2019-09-29T09:25:58,38.00,23.80,57.00
2019-09-29T10:25:58,42.00,23.40,56.50
2019-09-29T11:25:58,42.00,23.40,59.00
2019-09-29T12:25:58,40.00,23.80,64.00
2019-09-29T13:25:58,34.00,23.80,66.00
2019-09-29T14:25:58,32.00,23.80,66.00
2019-09-29T15:25:58,28.00,23.60,65.50
2019-09-29T16:25:58,28.00,23.60,64.00
2019-09-29T17:25:58,27.00,23.40,63.50
2019-09-29T18:25:58,27.00,23.40,63.00
2019-09-29T19:25:58,30.00,23.20,60.50
2019-09-29T20:25:58,30.00,23.20,62.50
2019-09-29T21:25:58,30.00,23.60,66.50
2019-09-29T22:25:58,24.00,23.80,68.50
2019-09-29T23:25:58,24.00,24.20,70.50
2019-09-30T00:25:58,24.00,24.20,69.00
2019-09-30T01:25:58,24.00,24.20,68.50
2019-09-30T02:25:58,21.00,24.20,68.00
2019-09-30T03:25:58,18.00,24.20,68.50
2019-09-30T04:25:58,16.00,24.00,68.50
2019-09-30T05:25:58,16.00,23.80,66.00
2019-09-30T06:25:58,24.00,23.80,64.50
2019-09-30T07:25:58,21.00,24.00,63.00
2019-09-30T08:25:58,18.00,24.40,61.50
2019-09-30T09:25:58,20.00,24.60,61.00
2019-09-30T10:25:58,18.00,24.40,60.00
2019-09-30T11:25:58,18.00,24.20,60.00
2019-09-30T12:25:58,18.00,23.80,59.50
2019-09-30T13:25:58,18.00,23.60,58.50
2019-09-30T14:25:58,18.00,23.60,57.50
2019-09-30T15:25:58,18.00,23.40,58.00
2019-09-30T16:25:58,18.00,24.20,58.00
2019-09-30T17:25:58,18.00,24.60,59.50
2019-09-30T18:25:58,18.00,24.60,60.00
2019-09-30T19:25:58,15.00,24.40,62.00
2019-09-30T20:25:58,15.00,24.60,65.50
2019-09-30T21:25:58,15.00,24.60,66.50
2019-09-30T22:25:58,15.00,24.80,68.00
2019-09-30T23:25:58,15.00,24.80,68.00
2019-10-01T00:25:58,18.00,24.80,68.00
2019-10-01T01:25:58,24.00,24.80,68.00
2019-10-01T02:25:58,24.00,24.60,68.50
2019-10-01T03:25:58,23.00,24.80,70.00
2019-10-01T04:25:58,23.00,24.60,70.00
2019-10-01T05:25:58,26.00,24.20,64.50
2019-10-01T06:25:58,21.00,24.20,62.50
2019-10-01T07:25:58,23.00,24.60,59.00
2019-10-01T08:25:58,18.00,25.00,55.00
2019-10-01T09:25:58,15.00,25.00,51.50
2019-10-01T10:25:58,15.00,24.60,52.00
2019-10-01T11:25:58,15.00,24.40,52.00
2019-10-01T12:25:58,15.00,24.00,51.50
2019-10-01T13:25:58,15.00,23.80,51.50
2019-10-01T14:25:58,15.00,23.60,51.00
2019-10-01T15:25:58,15.00,23.60,50.50
2019-10-01T16:25:58,17.00,23.40,49.50
2019-10-01T17:25:58,17.00,23.20,50.50
2019-10-01T18:25:58,17.00,23.20,51.50
2019-10-01T19:25:58,20.00,23.40,55.00
2019-10-01T20:25:58,20.00,23.60,58.50
2019-10-01T21:25:58,20.00,24.00,62.00
2019-10-01T22:25:58,20.00,24.20,64.50
2019-10-01T23:25:58,23.00,24.20,60.00
2019-10-02T00:25:58,21.00,24.00,58.50
2019-10-02T01:25:58,15.00,24.00,58.00
2019-10-02T02:25:58,15.00,24.00,58.50
2019-10-02T03:25:58,15.00,24.20,61.50
2019-10-02T04:25:58,14.00,24.80,61.50
2019-10-02T05:25:58,11.00,25.00,58.00
2019-10-02T06:25:58,13.00,24.60,54.00
2019-10-02T07:25:58,11.00,24.80,52.00
2019-10-02T08:25:58,11.00,25.00,51.00
2019-10-02T09:25:58,11.00,25.00,51.00
2019-10-02T10:25:58,11.00,24.80,51.50
2019-10-02T11:25:58,11.00,24.60,51.50
2019-10-02T12:25:58,11.00,24.20,52.00
2019-10-02T13:25:58,11.00,24.00,52.50
